4.92 --> 278.62 | SPEAKER_00
279.41 --> 282.54 | SPEAKER_00
280.04 --> 280.53 | SPEAKER_01
282.54 --> 284.73 | SPEAKER_02
283.83 --> 307.97 | SPEAKER_00
285.37 --> 286.10 | SPEAKER_02
287.53 --> 288.91 | SPEAKER_01
291.53 --> 291.73 | SPEAKER_01
293.77 --> 294.97 | SPEAKER_01
308.78 --> 319.61 | SPEAKER_02
314.85 --> 315.32 | SPEAKER_01
319.61 --> 328.47 | SPEAKER_00
322.80 --> 323.00 | SPEAKER_01
328.03 --> 352.70 | SPEAKER_02
342.61 --> 343.54 | SPEAKER_00
343.54 --> 343.64 | SPEAKER_01
354.15 --> 366.81 | SPEAKER_02
357.76 --> 358.54 | SPEAKER_01
359.35 --> 360.46 | SPEAKER_00
367.08 --> 370.08 | SPEAKER_00
368.72 --> 369.02 | SPEAKER_02
371.04 --> 376.73 | SPEAKER_02
378.05 --> 403.53 | SPEAKER_02
404.71 --> 408.98 | SPEAKER_02
409.67 --> 411.98 | SPEAKER_02
411.98 --> 414.31 | SPEAKER_00
414.31 --> 434.12 | SPEAKER_02
419.39 --> 420.96 | SPEAKER_00
434.85 --> 446.98 | SPEAKER_02
438.11 --> 439.95 | SPEAKER_00
442.61 --> 442.86 | SPEAKER_00
446.98 --> 448.45 | SPEAKER_01
448.62 --> 452.48 | SPEAKER_02
452.48 --> 454.27 | SPEAKER_00
455.50 --> 470.74 | SPEAKER_02
461.19 --> 465.39 | SPEAKER_00
471.33 --> 475.01 | SPEAKER_02
475.75 --> 500.81 | SPEAKER_02
496.32 --> 498.32 | SPEAKER_00
501.86 --> 542.93 | SPEAKER_02
536.28 --> 536.47 | SPEAKER_01
544.20 --> 553.80 | SPEAKER_02
554.61 --> 570.42 | SPEAKER_02
571.27 --> 581.73 | SPEAKER_02
575.00 --> 575.16 | SPEAKER_00
575.16 --> 576.41 | SPEAKER_01
583.10 --> 592.73 | SPEAKER_02
594.55 --> 599.68 | SPEAKER_00
595.38 --> 595.41 | SPEAKER_02
599.68 --> 601.47 | SPEAKER_02
602.92 --> 606.96 | SPEAKER_02
607.82 --> 629.97 | SPEAKER_02
617.07 --> 619.16 | SPEAKER_00
629.97 --> 633.43 | SPEAKER_00
632.81 --> 633.82 | SPEAKER_02
634.46 --> 637.20 | SPEAKER_02
638.77 --> 644.27 | SPEAKER_02
645.99 --> 659.54 | SPEAKER_02
657.89 --> 662.26 | SPEAKER_00
661.21 --> 661.48 | SPEAKER_02
662.26 --> 671.23 | SPEAKER_02
671.23 --> 674.88 | SPEAKER_00
672.80 --> 706.76 | SPEAKER_02
676.33 --> 676.62 | SPEAKER_00
689.97 --> 690.67 | SPEAKER_00
707.58 --> 711.18 | SPEAKER_02
711.92 --> 713.56 | SPEAKER_02
714.62 --> 716.53 | SPEAKER_02
718.28 --> 720.51 | SPEAKER_02
721.32 --> 725.76 | SPEAKER_02
726.96 --> 731.43 | SPEAKER_02
732.19 --> 733.30 | SPEAKER_02
734.28 --> 739.36 | SPEAKER_02
741.25 --> 751.76 | SPEAKER_02
745.72 --> 746.36 | SPEAKER_00
752.49 --> 760.67 | SPEAKER_02
760.15 --> 761.70 | SPEAKER_00
761.55 --> 761.65 | SPEAKER_02
762.60 --> 771.59 | SPEAKER_02
773.24 --> 786.98 | SPEAKER_02
776.74 --> 778.46 | SPEAKER_01
782.27 --> 782.78 | SPEAKER_01
786.32 --> 789.98 | SPEAKER_00
789.12 --> 790.10 | SPEAKER_02
790.93 --> 818.96 | SPEAKER_02
819.62 --> 824.53 | SPEAKER_02
822.59 --> 823.51 | SPEAKER_00
825.67 --> 873.62 | SPEAKER_02
832.56 --> 832.96 | SPEAKER_01
833.98 --> 835.12 | SPEAKER_01
845.32 --> 846.51 | SPEAKER_00
860.62 --> 861.15 | SPEAKER_01
862.44 --> 863.46 | SPEAKER_01
862.97 --> 863.98 | SPEAKER_00
873.62 --> 876.54 | SPEAKER_01
876.54 --> 877.77 | SPEAKER_02
878.49 --> 880.72 | SPEAKER_02
884.99 --> 893.68 | SPEAKER_02
893.68 --> 896.94 | SPEAKER_00
896.26 --> 900.09 | SPEAKER_02
901.97 --> 909.04 | SPEAKER_02
910.13 --> 918.06 | SPEAKER_02
920.29 --> 936.26 | SPEAKER_02
937.02 --> 937.93 | SPEAKER_02
937.07 --> 945.66 | SPEAKER_00
943.80 --> 953.64 | SPEAKER_02
954.85 --> 969.75 | SPEAKER_02
970.65 --> 1005.53 | SPEAKER_02
995.12 --> 995.47 | SPEAKER_00
1006.46 --> 1009.07 | SPEAKER_02
1009.66 --> 1030.79 | SPEAKER_02
1031.38 --> 1057.32 | SPEAKER_02
1039.04 --> 1039.33 | SPEAKER_01
1058.04 --> 1066.75 | SPEAKER_02
1067.90 --> 1077.97 | SPEAKER_02
1077.97 --> 1088.03 | SPEAKER_00
1082.85 --> 1085.97 | SPEAKER_02
1087.03 --> 1096.47 | SPEAKER_02
1096.03 --> 1099.62 | SPEAKER_00
1099.62 --> 1123.72 | SPEAKER_02
1123.72 --> 1133.52 | SPEAKER_00
1126.00 --> 1126.27 | SPEAKER_02
1133.52 --> 1150.26 | SPEAKER_02
1134.35 --> 1136.22 | SPEAKER_00
1151.82 --> 1184.00 | SPEAKER_02
1172.52 --> 1174.94 | SPEAKER_00
1184.62 --> 1190.16 | SPEAKER_02
1186.50 --> 1197.31 | SPEAKER_00
1192.06 --> 1192.47 | SPEAKER_02
1192.47 --> 1192.98 | SPEAKER_01
1197.31 --> 1201.48 | SPEAKER_02
1201.48 --> 1219.71 | SPEAKER_00
1219.10 --> 1222.00 | SPEAKER_01
1222.00 --> 1234.93 | SPEAKER_00
1223.05 --> 1223.81 | SPEAKER_01
1229.73 --> 1231.77 | SPEAKER_02
1234.93 --> 1235.11 | SPEAKER_02
1235.82 --> 1248.27 | SPEAKER_02
1247.68 --> 1248.17 | SPEAKER_01
1247.97 --> 1248.04 | SPEAKER_00
1250.40 --> 1254.20 | SPEAKER_02
1256.02 --> 1269.35 | SPEAKER_02
1270.77 --> 1279.95 | SPEAKER_02
1280.56 --> 1282.21 | SPEAKER_02
1283.71 --> 1289.11 | SPEAKER_02
1290.45 --> 1299.91 | SPEAKER_02
1301.23 --> 1308.69 | SPEAKER_02
1309.38 --> 1320.09 | SPEAKER_02
1321.83 --> 1347.30 | SPEAKER_02
1348.92 --> 1358.97 | SPEAKER_02
1358.97 --> 1360.53 | SPEAKER_00
1359.87 --> 1365.93 | SPEAKER_02
1366.64 --> 1368.76 | SPEAKER_02
1369.50 --> 1382.97 | SPEAKER_02
1373.91 --> 1374.58 | SPEAKER_00
1374.58 --> 1374.63 | SPEAKER_01
1382.97 --> 1406.87 | SPEAKER_00
1404.35 --> 1420.97 | SPEAKER_02
1420.97 --> 1426.63 | SPEAKER_00
1426.63 --> 1430.74 | SPEAKER_02
1431.77 --> 1433.53 | SPEAKER_02
1433.53 --> 1438.12 | SPEAKER_00
1438.96 --> 1465.74 | SPEAKER_02
1449.46 --> 1449.48 | SPEAKER_01
1457.36 --> 1457.81 | SPEAKER_00
1469.07 --> 1499.97 | SPEAKER_02
1500.99 --> 1517.95 | SPEAKER_02
1509.87 --> 1511.15 | SPEAKER_00
1514.66 --> 1516.49 | SPEAKER_00
1519.15 --> 1525.97 | SPEAKER_02
1525.60 --> 1525.92 | SPEAKER_01
1525.97 --> 1571.43 | SPEAKER_00
1526.86 --> 1528.65 | SPEAKER_02
1545.09 --> 1546.22 | SPEAKER_01
