4.87 --> 37.01 | SPEAKER_02
37.34 --> 42.80 | SPEAKER_02
43.24 --> 49.51 | SPEAKER_02
49.78 --> 50.30 | SPEAKER_02
50.41 --> 71.56 | SPEAKER_02
72.06 --> 73.31 | SPEAKER_02
73.39 --> 74.58 | SPEAKER_02
74.81 --> 159.65 | SPEAKER_02
160.00 --> 192.37 | SPEAKER_02
192.99 --> 212.81 | SPEAKER_02
213.26 --> 213.72 | SPEAKER_02
213.94 --> 269.96 | SPEAKER_02
270.40 --> 281.96 | SPEAKER_02
282.19 --> 283.00 | SPEAKER_02
283.08 --> 284.32 | SPEAKER_01
284.32 --> 294.55 | SPEAKER_02
294.55 --> 294.61 | SPEAKER_01
294.61 --> 294.62 | SPEAKER_02
294.62 --> 295.64 | SPEAKER_01
295.67 --> 299.61 | SPEAKER_02
299.62 --> 300.00 | SPEAKER_01
300.38 --> 301.35 | SPEAKER_02
302.11 --> 307.81 | SPEAKER_02
308.70 --> 309.75 | SPEAKER_01
310.32 --> 311.76 | SPEAKER_01
312.61 --> 314.05 | SPEAKER_01
314.64 --> 319.19 | SPEAKER_01
319.19 --> 319.52 | SPEAKER_02
319.52 --> 320.75 | SPEAKER_01
320.75 --> 328.11 | SPEAKER_02
328.43 --> 332.58 | SPEAKER_01
332.58 --> 333.14 | SPEAKER_02
333.19 --> 333.76 | SPEAKER_01
333.76 --> 334.88 | SPEAKER_02
335.35 --> 337.76 | SPEAKER_01
337.76 --> 338.05 | SPEAKER_02
338.05 --> 338.49 | SPEAKER_01
338.49 --> 339.69 | SPEAKER_02
339.69 --> 341.94 | SPEAKER_01
342.17 --> 342.67 | SPEAKER_02
342.67 --> 343.20 | SPEAKER_01
343.20 --> 343.64 | SPEAKER_02
343.64 --> 344.81 | SPEAKER_01
345.31 --> 346.12 | SPEAKER_02
346.76 --> 348.37 | SPEAKER_01
348.69 --> 350.20 | SPEAKER_01
350.58 --> 351.29 | SPEAKER_01
351.87 --> 352.64 | SPEAKER_01
354.12 --> 354.76 | SPEAKER_01
354.82 --> 355.44 | SPEAKER_02
355.44 --> 356.88 | SPEAKER_01
357.40 --> 357.82 | SPEAKER_02
357.82 --> 358.43 | SPEAKER_01
358.62 --> 364.58 | SPEAKER_01
364.58 --> 365.11 | SPEAKER_02
365.32 --> 366.73 | SPEAKER_01
366.99 --> 367.73 | SPEAKER_01
367.73 --> 368.73 | SPEAKER_02
368.73 --> 368.76 | SPEAKER_01
368.76 --> 368.79 | SPEAKER_02
368.79 --> 369.17 | SPEAKER_01
369.17 --> 370.08 | SPEAKER_02
371.14 --> 376.67 | SPEAKER_01
378.02 --> 386.44 | SPEAKER_01
386.49 --> 386.79 | SPEAKER_03
386.79 --> 387.14 | SPEAKER_01
387.75 --> 391.90 | SPEAKER_01
392.00 --> 392.62 | SPEAKER_03
392.62 --> 395.20 | SPEAKER_01
395.93 --> 402.00 | SPEAKER_01
402.00 --> 402.23 | SPEAKER_02
402.23 --> 403.43 | SPEAKER_01
404.69 --> 408.11 | SPEAKER_01
408.31 --> 408.76 | SPEAKER_01
409.67 --> 412.38 | SPEAKER_01
412.79 --> 414.49 | SPEAKER_02
414.55 --> 417.93 | SPEAKER_01
417.93 --> 419.29 | SPEAKER_02
419.29 --> 420.19 | SPEAKER_01
420.19 --> 421.02 | SPEAKER_02
421.02 --> 429.46 | SPEAKER_01
429.75 --> 429.85 | SPEAKER_02
429.85 --> 430.14 | SPEAKER_03
430.14 --> 431.40 | SPEAKER_01
431.67 --> 431.81 | SPEAKER_03
431.81 --> 433.82 | SPEAKER_01
434.82 --> 437.69 | SPEAKER_01
437.96 --> 438.43 | SPEAKER_01
438.43 --> 439.06 | SPEAKER_03
439.06 --> 439.96 | SPEAKER_01
440.25 --> 440.62 | SPEAKER_03
440.62 --> 440.99 | SPEAKER_01
440.99 --> 441.11 | SPEAKER_03
441.11 --> 442.79 | SPEAKER_01
442.79 --> 444.23 | SPEAKER_02
444.23 --> 448.44 | SPEAKER_01
448.75 --> 452.88 | SPEAKER_01
452.88 --> 454.23 | SPEAKER_02
455.49 --> 458.40 | SPEAKER_01
458.40 --> 459.06 | SPEAKER_02
459.06 --> 462.19 | SPEAKER_01
462.19 --> 462.69 | SPEAKER_02
