4.87 --> 37.01 | SPEAKER_02
37.34 --> 42.80 | SPEAKER_02
43.24 --> 49.51 | SPEAKER_02
49.78 --> 50.30 | SPEAKER_02
50.41 --> 71.56 | SPEAKER_02
72.06 --> 73.31 | SPEAKER_02
73.39 --> 74.58 | SPEAKER_02
74.81 --> 159.65 | SPEAKER_02
160.00 --> 192.37 | SPEAKER_02
192.99 --> 212.81 | SPEAKER_02
213.26 --> 213.72 | SPEAKER_02
213.94 --> 269.96 | SPEAKER_02
270.40 --> 281.96 | SPEAKER_02
282.19 --> 283.00 | SPEAKER_02
283.08 --> 284.67 | SPEAKER_01
283.93 --> 294.99 | SPEAKER_02
287.88 --> 288.31 | SPEAKER_01
293.56 --> 295.64 | SPEAKER_01
295.67 --> 299.61 | SPEAKER_02
299.62 --> 300.00 | SPEAKER_01
300.38 --> 301.35 | SPEAKER_02
302.11 --> 307.81 | SPEAKER_02
308.70 --> 309.75 | SPEAKER_01
310.32 --> 311.76 | SPEAKER_01
312.61 --> 314.05 | SPEAKER_01
314.64 --> 319.20 | SPEAKER_01
314.69 --> 315.31 | SPEAKER_02
318.02 --> 318.44 | SPEAKER_02
319.14 --> 319.96 | SPEAKER_02
319.43 --> 320.76 | SPEAKER_01
320.75 --> 328.11 | SPEAKER_02
326.82 --> 327.38 | SPEAKER_01
328.43 --> 332.85 | SPEAKER_01
332.46 --> 333.14 | SPEAKER_02
333.19 --> 333.99 | SPEAKER_01
333.64 --> 334.88 | SPEAKER_02
335.35 --> 338.55 | SPEAKER_01
337.73 --> 339.70 | SPEAKER_02
339.00 --> 339.35 | SPEAKER_01
339.64 --> 341.94 | SPEAKER_01
342.17 --> 343.81 | SPEAKER_02
342.56 --> 344.81 | SPEAKER_01
345.31 --> 346.12 | SPEAKER_02
346.76 --> 348.37 | SPEAKER_01
348.69 --> 350.20 | SPEAKER_01
350.58 --> 351.29 | SPEAKER_01
351.87 --> 352.64 | SPEAKER_01
354.12 --> 354.76 | SPEAKER_01
354.82 --> 355.46 | SPEAKER_02
355.43 --> 356.88 | SPEAKER_01
357.40 --> 358.43 | SPEAKER_02
357.75 --> 358.43 | SPEAKER_01
358.62 --> 364.81 | SPEAKER_01
359.49 --> 360.43 | SPEAKER_02
364.12 --> 365.11 | SPEAKER_02
365.32 --> 366.73 | SPEAKER_01
366.99 --> 367.88 | SPEAKER_01
367.56 --> 370.08 | SPEAKER_02
368.43 --> 369.26 | SPEAKER_01
371.14 --> 376.67 | SPEAKER_01
378.02 --> 386.44 | SPEAKER_01
384.11 --> 384.26 | SPEAKER_03
386.49 --> 387.00 | SPEAKER_03
386.76 --> 387.14 | SPEAKER_01
387.75 --> 391.90 | SPEAKER_01
389.37 --> 389.73 | SPEAKER_03
392.00 --> 392.64 | SPEAKER_03
392.62 --> 395.20 | SPEAKER_01
395.93 --> 402.00 | SPEAKER_01
402.00 --> 402.49 | SPEAKER_02
402.12 --> 403.43 | SPEAKER_01
402.49 --> 402.50 | SPEAKER_03
404.69 --> 408.11 | SPEAKER_01
408.31 --> 408.76 | SPEAKER_01
409.67 --> 412.38 | SPEAKER_01
412.79 --> 414.49 | SPEAKER_02
414.55 --> 418.44 | SPEAKER_01
417.69 --> 421.23 | SPEAKER_02
419.06 --> 420.75 | SPEAKER_01
420.94 --> 429.46 | SPEAKER_01
429.75 --> 429.85 | SPEAKER_02
429.85 --> 430.14 | SPEAKER_03
430.14 --> 431.40 | SPEAKER_01
431.67 --> 431.90 | SPEAKER_03
431.81 --> 433.82 | SPEAKER_01
434.82 --> 437.69 | SPEAKER_01
437.96 --> 439.96 | SPEAKER_01
438.08 --> 439.61 | SPEAKER_03
440.25 --> 441.20 | SPEAKER_03
440.56 --> 442.90 | SPEAKER_01
442.62 --> 444.56 | SPEAKER_02
444.17 --> 448.44 | SPEAKER_01
445.67 --> 445.85 | SPEAKER_02
448.75 --> 453.11 | SPEAKER_01
452.81 --> 454.23 | SPEAKER_02
455.49 --> 458.44 | SPEAKER_01
458.37 --> 459.20 | SPEAKER_02
459.05 --> 463.76 | SPEAKER_01
461.88 --> 465.40 | SPEAKER_02
464.50 --> 466.94 | SPEAKER_01
467.00 --> 467.52 | SPEAKER_02
467.20 --> 469.00 | SPEAKER_01
